sep=,
DeviceTag:,chest
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-16_16:12:46_789 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,211249324,6.331278,-0.619638,-7.954893,1.507724,3.178773,-1.708431,-0.638672,0.045410,0.598633
2,211265991,6.349765,-0.643869,-8.234294,1.925915,2.185474,-1.102140,-0.642578,0.046875,0.596680
3,211282658,6.403008,-0.672992,-7.764621,-0.177906,2.864070,-0.649666,-0.640137,0.042969,0.595215
4,211299325,6.529506,-0.590105,-7.780218,0.396120,4.256863,0.390869,-0.640625,0.045898,0.595703
5,211315992,6.677739,-0.596141,-7.766530,1.375050,5.449454,1.104849,-0.640625,0.044922,0.593750
6,211332659,6.651374,-0.620073,-7.717546,2.154483,7.594775,1.234820,-0.643066,0.045166,0.593262
7,211349326,6.729888,-0.638182,-7.687295,1.631241,10.029700,0.936317,-0.644043,0.047607,0.588379
8,211365993,6.840573,-0.709510,-7.795654,1.448380,12.616035,1.015025,-0.644287,0.046631,0.582031
9,211382660,6.713262,-0.770996,-7.733759,1.600045,13.007026,1.659941,-0.645752,0.044189,0.579102
10,211399327,6.654308,-0.751577,-7.591338,1.657982,13.026095,2.506966,-0.649170,0.049072,0.577637
11,211415994,6.677233,-0.715806,-7.527582,1.552124,14.196739,2.807301,-0.653564,0.048828,0.567383
12,211432661,6.669795,-0.675158,-7.647478,1.476247,15.733555,2.714020,-0.654541,0.051270,0.564453
13,211449328,6.628768,-0.664217,-7.534368,1.221580,15.537079,2.819762,-0.654785,0.050293,0.562012
14,211465995,6.664211,-0.662999,-7.433465,0.605440,15.848827,3.198575,-0.658203,0.050293,0.560059
15,211482662,6.734885,-0.570628,-7.324256,-0.713865,17.794001,3.140204,-0.658203,0.050293,0.554688
16,211499329,6.935220,-0.508606,-7.354103,-2.049890,20.067303,2.591593,-0.661621,0.051514,0.547607
17,211515996,7.061999,-0.489478,-7.496391,-1.535254,22.544846,1.398872,-0.664551,0.052979,0.541748
18,211532663,7.119614,-0.428434,-7.154076,-4.805950,22.000370,-0.529864,-0.668213,0.051025,0.534912
19,211549330,7.257246,-0.429433,-7.328085,-5.633371,23.806955,-3.170346,-0.668213,0.053467,0.524658
20,211565997,7.330661,-0.584211,-7.269385,-6.433926,24.888170,-5.540168,-0.670654,0.045898,0.519775
21,211582664,7.353039,-0.814654,-7.152181,-8.352427,26.129335,-6.105009,-0.676270,0.045898,0.510010
22,211599331,7.517863,-0.886042,-7.098359,-9.752072,31.149878,-4.975785,-0.679199,0.041748,0.503662
23,211615998,7.645963,-0.741277,-7.193635,-11.854862,37.059277,-5.026020,-0.683105,0.039307,0.492432
24,211632665,7.641262,-0.524150,-7.268571,-12.208012,39.699196,-6.023351,-0.688721,0.037598,0.479248
25,211649332,7.598383,-0.445337,-7.247114,-12.107350,38.685070,-7.265381,-0.689697,0.033203,0.465088
26,211665999,7.578545,-0.575476,-7.045981,-11.330762,37.271366,-8.226665,-0.695312,0.031494,0.453369
27,211682666,7.614655,-0.755283,-6.851418,-11.473508,38.880711,-8.435018,-0.696777,0.025635,0.447021
28,211699333,7.689495,-0.835903,-6.718060,-11.502733,42.681713,-7.725512,-0.699707,0.022461,0.431152
29,211716000,7.804949,-0.698411,-6.716472,-11.963929,45.878281,-7.274987,-0.706787,0.018066,0.416992
30,211732667,7.834721,-0.528678,-6.807899,-13.115867,47.767921,-6.852879,-0.709717,0.015869,0.403320
31,211749334,7.704763,-0.464679,-6.716053,-14.350307,47.550594,-5.913666,-0.710449,0.015869,0.388184
32,211766001,7.611473,-0.427372,-6.431436,-15.054054,46.453281,-4.309207,-0.715332,0.012695,0.374512
33,211782668,7.768473,-0.369346,-6.127632,-16.647253,47.961296,-2.917364,-0.717041,0.009766,0.358398
34,211799335,7.932183,-0.239398,-6.159562,-17.725113,52.496124,-1.587364,-0.722656,0.007080,0.344971
35,211816002,7.942635,-0.142673,-6.061409,-19.915159,54.011230,0.165684,-0.725098,0.007080,0.327881
36,211832669,8.054831,0.101929,-5.964581,-24.058704,54.565472,1.436551,-0.728271,0.007324,0.309326
37,211849336,8.212885,0.438372,-6.027806,-28.084227,56.040302,1.960903,-0.729980,0.003418,0.295166
38,211866003,8.282020,0.666883,-5.766104,-31.678473,56.252388,3.497344,-0.735840,0.002197,0.275146
39,211882670,8.421299,0.751223,-5.478532,-35.480141,57.030312,5.448402,-0.736084,0.003662,0.258789
40,211899337,8.677899,0.826758,-5.319232,-38.751514,58.234028,7.748297,-0.737305,0.006836,0.237793
41,211916004,9.001154,1.039471,-5.360278,-40.584442,61.077282,9.441388,-0.739014,0.003418,0.216797
42,211932671,9.188211,1.194331,-5.219655,-40.068909,62.934887,10.423071,-0.740723,0.006104,0.198486
43,211949338,9.185318,1.247521,-4.761441,-37.325729,61.698730,10.807502,-0.743408,0.009521,0.180420
44,211966005,9.061260,1.131064,-4.256677,-36.486584,59.788368,9.923117,-0.743652,0.012695,0.161865
45,211982672,8.989368,1.031582,-4.211865,-36.618561,59.927589,9.255152,-0.742676,0.015625,0.146240
46,211999339,8.846317,1.131433,-4.094812,-35.818787,60.253376,8.881608,-0.746338,0.012451,0.125488
