sep=,
DeviceTag:,upperarm
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-16_16:12:46_807 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,211249324,9.565144,-0.418268,-4.116338,0.963409,3.161226,0.279163,-1.001709,0.227539,-0.173340
2,211265991,9.551137,-0.363880,-4.200706,1.113890,3.793837,0.383275,-1.000244,0.224609,-0.174316
3,211282658,9.603025,-0.341171,-4.224845,0.778146,4.272218,0.274536,-1.002197,0.225586,-0.174316
4,211299325,9.677164,-0.371452,-4.220162,0.124856,4.539025,0.371429,-1.001709,0.229492,-0.173828
5,211315992,9.781492,-0.440348,-4.253443,-0.200202,4.787494,0.492744,-0.999756,0.228027,-0.174316
6,211332659,9.746707,-0.478207,-4.310930,-0.212739,5.395976,0.657421,-1.000244,0.227539,-0.177734
7,211349326,9.953579,-0.534067,-4.315611,-0.119266,5.686794,0.775521,-1.000244,0.229004,-0.178711
8,211365993,10.068863,-0.614071,-4.241033,0.316912,6.651818,0.739727,-1.001709,0.227539,-0.186035
9,211382660,10.109317,-0.667654,-4.254407,1.298903,8.594720,1.023618,-0.997803,0.226074,-0.184570
10,211399327,10.024043,-0.603222,-4.182423,2.244769,11.244063,1.576635,-0.997803,0.228516,-0.190918
11,211415994,9.819370,-0.492516,-4.022304,2.139667,13.479838,2.188741,-0.998779,0.227051,-0.191895
12,211432661,9.533184,-0.497112,-3.903757,1.191215,14.801851,2.396768,-0.997070,0.229980,-0.199707
13,211449328,9.370527,-0.598218,-3.775586,0.156398,14.731356,1.423100,-0.997559,0.229004,-0.200684
14,211465995,9.304276,-0.732230,-3.662254,-0.411327,14.610627,-0.052865,-0.998047,0.228027,-0.207520
15,211482662,9.200276,-0.755584,-3.567900,-0.772505,14.010495,-1.446145,-0.999023,0.226074,-0.209473
16,211499329,9.115732,-0.732770,-3.595312,-1.875068,12.241847,-2.638097,-0.999023,0.226074,-0.215332
17,211515996,9.234902,-0.800868,-3.670536,-3.375473,9.942848,-3.804973,-0.995117,0.224121,-0.215576
18,211532663,9.491796,-0.919373,-3.730473,-4.519529,8.436373,-5.973550,-0.992432,0.221191,-0.218994
19,211549330,9.925669,-0.942403,-3.863353,-4.821529,8.513659,-8.986976,-0.994385,0.222656,-0.221924
20,211565997,10.276429,-0.808156,-3.993658,-4.966755,9.438725,-12.410825,-0.993408,0.218262,-0.226807
21,211582664,10.464034,-0.630943,-4.121208,-5.469356,10.984885,-14.541104,-0.992432,0.209961,-0.227783
22,211599331,10.583638,-0.506218,-4.257670,-7.069358,12.840016,-14.436259,-0.989014,0.208008,-0.232178
23,211615998,10.736506,-0.563480,-4.265648,-9.108212,15.767994,-13.596296,-0.989502,0.206055,-0.239014
24,211632665,10.560024,-0.766147,-4.279359,-9.936969,19.193911,-13.789653,-0.988037,0.199707,-0.240479
25,211649332,10.242290,-0.788741,-4.196666,-9.099191,21.243759,-15.104961,-0.983154,0.197754,-0.248291
26,211665999,10.112358,-0.604554,-4.147874,-7.590780,21.894594,-16.719107,-0.981445,0.193359,-0.254639
27,211682666,10.175587,-0.287726,-4.088228,-7.147591,22.059828,-17.165552,-0.979980,0.186279,-0.264404
28,211699333,10.276940,-0.056602,-4.056098,-7.617547,23.226465,-16.069147,-0.978027,0.184814,-0.266846
29,211716000,10.185047,0.078090,-3.940942,-8.604832,25.129757,-14.075362,-0.973633,0.177979,-0.276123
30,211732667,9.968737,0.145163,-3.783140,-9.458084,26.569387,-11.614463,-0.976807,0.178467,-0.286133
31,211749334,9.929506,0.191334,-3.727301,-10.032747,28.001263,-9.723845,-0.972900,0.172607,-0.292969
32,211766001,9.981094,0.267545,-3.677567,-10.533185,29.438082,-8.416160,-0.967041,0.172119,-0.301270
33,211782668,9.932806,0.356971,-3.585768,-11.401179,31.032078,-7.305462,-0.966309,0.169678,-0.311523
34,211799335,9.980258,0.510625,-3.437811,-12.584215,32.714500,-6.377475,-0.962402,0.168701,-0.320801
35,211816002,9.930147,0.656248,-3.387453,-14.109530,34.951237,-5.277767,-0.958740,0.169678,-0.331055
36,211832669,10.004988,0.769041,-3.309373,-15.618945,37.673496,-4.011830,-0.955811,0.167236,-0.341064
37,211849336,10.173134,0.852290,-3.173897,-17.000008,40.438190,-3.298925,-0.952148,0.168213,-0.349365
38,211866003,10.279854,0.961838,-3.060198,-18.062254,42.804169,-3.114042,-0.947266,0.168213,-0.359131
39,211882670,10.334874,1.081819,-2.875969,-19.262066,45.271648,-3.246028,-0.944580,0.168213,-0.373779
40,211899337,10.236523,1.109810,-2.605834,-20.154900,47.451061,-3.042702,-0.936768,0.169922,-0.383057
41,211916004,10.065402,1.246362,-2.313472,-21.455368,48.375370,-1.944766,-0.933594,0.170898,-0.396484
42,211932671,9.951530,1.229311,-2.021915,-22.557314,47.758389,-0.759437,-0.927246,0.170410,-0.411621
43,211949338,9.700258,1.204021,-1.907654,-22.489798,45.977406,-0.134442,-0.924561,0.173340,-0.427246
44,211966005,9.460931,1.200862,-1.798669,-21.362133,44.066322,0.433620,-0.918945,0.176758,-0.433594
45,211982672,9.235632,1.248501,-1.628096,-20.430038,42.477428,1.194374,-0.915039,0.177734,-0.447998
46,211999339,8.988282,1.231220,-1.512035,-19.393436,41.177803,2.414200,-0.911377,0.181641,-0.459717
47,212016006,8.776641,1.193204,-1.415138,-18.402212,40.223518,4.134437,-0.903076,0.183594,-0.467529
48,212032673,8.759965,1.081695,-1.237542,-16.712856,39.744083,5.828675,-0.900391,0.187012,-0.477783
49,212049340,8.763876,0.983440,-1.050011,-14.363873,38.954571,7.176448,-0.899902,0.190430,-0.484131
50,212066007,8.498239,0.830292,-0.932036,-11.494249,36.946392,8.421995,-0.888428,0.192139,-0.498047
51,212082674,8.267116,0.599472,-0.794309,-8.171833,33.414001,9.693702,-0.886475,0.194580,-0.504883
52,212099341,8.045074,0.410838,-0.756070,-4.152857,29.484528,10.775409,-0.882812,0.197510,-0.511719
53,212116008,8.080433,0.428602,-0.636635,-0.880068,25.500725,12.479920,-0.880371,0.199951,-0.515625
54,212132675,8.444075,0.305407,-0.432143,2.388358,23.009769,14.161227,-0.872803,0.206055,-0.522461
55,212149342,8.453456,0.136135,-0.269413,6.872332,21.115816,14.478350,-0.874756,0.210205,-0.528809
56,212166009,8.526348,0.012157,-0.188068,12.756826,18.930424,13.943183,-0.871338,0.211426,-0.529541
57,212182676,8.373206,0.100642,-0.309297,18.784487,14.955378,13.123848,-0.869873,0.211426,-0.534912
