sep=,
DeviceTag:,chest
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-16_16:26:02_320 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,1006779689,9.532619,-0.627919,2.684871,1.891773,-3.979868,-1.240884,-0.698486,-0.314453,0.213135
2,1006796356,9.542601,-0.657002,2.703978,2.222023,-3.709065,-1.121977,-0.699463,-0.314941,0.215576
3,1006813023,9.497057,-0.676874,2.730767,2.285581,-3.264620,-1.072775,-0.697510,-0.314453,0.218018
4,1006829690,9.482819,-0.688398,2.702495,2.345617,-3.195338,-1.170936,-0.697998,-0.316895,0.218506
5,1006846357,9.475137,-0.698820,2.664641,2.292369,-2.988797,-1.344603,-0.698486,-0.314453,0.214111
6,1006863024,9.530807,-0.617096,2.747769,0.890714,-3.734050,-1.109670,-0.697998,-0.313965,0.217529
7,1006879691,9.538636,-0.650699,2.657090,1.189268,-3.047232,-0.670195,-0.700439,-0.316895,0.217041
8,1006896358,9.492779,-0.662971,2.655156,1.289952,-2.169216,-1.100091,-0.697998,-0.315430,0.217529
9,1006913025,9.572003,-0.665534,2.482640,2.580985,-2.226537,-0.864326,-0.695557,-0.315918,0.218018
10,1006929692,9.429924,-0.682823,2.719238,3.139048,-2.374579,-0.828174,-0.701172,-0.321289,0.220459
11,1006946359,9.535176,-0.631799,2.755300,2.709215,-3.044261,-0.744203,-0.699951,-0.318848,0.216064
12,1006963026,9.513464,-0.604501,2.672910,2.849547,-2.235348,-0.510115,-0.698242,-0.314941,0.220459
13,1006979693,9.435506,-0.642531,2.743404,1.706197,-3.236959,-0.447710,-0.697998,-0.318848,0.217041
14,1006996360,9.515183,-0.634411,2.725331,1.108780,-3.478167,-0.385010,-0.699951,-0.317383,0.217529
15,1007013027,9.531624,-0.624395,2.642920,2.114617,-2.831048,-0.748582,-0.698242,-0.315918,0.223877
16,1007029694,9.527540,-0.636183,2.631320,2.797477,-2.860785,-1.046176,-0.695068,-0.314941,0.219482
17,1007046361,9.530540,-0.635884,2.659949,2.506465,-2.397067,-0.830671,-0.698730,-0.316406,0.222900
18,1007063028,9.509185,-0.648282,2.608704,2.386918,-1.792415,-0.668620,-0.697754,-0.318359,0.221924
19,1007079695,9.494438,-0.681515,2.615792,2.490419,-2.029294,-0.729270,-0.697754,-0.315430,0.226318
20,1007096362,9.490824,-0.679271,2.653952,2.478266,-2.562807,-1.025597,-0.698242,-0.316406,0.225342
21,1007113029,9.500399,-0.656895,2.689355,2.143879,-3.426019,-0.956583,-0.695801,-0.315430,0.222412
22,1007129696,9.537538,-0.662419,2.550066,2.586659,-3.426813,-0.955059,-0.696289,-0.314453,0.223389
23,1007146363,9.441042,-0.644280,2.755355,2.593446,-4.816942,-1.141392,-0.698242,-0.316895,0.224365
24,1007163030,9.612671,-0.658331,2.605186,2.385125,-3.423996,-1.176852,-0.699707,-0.318848,0.225830
25,1007179697,9.543859,-0.653605,2.530120,2.915782,-1.837955,-1.115100,-0.697754,-0.317383,0.227783
26,1007196364,9.417459,-0.696133,2.634593,2.700724,-3.391941,-1.055256,-0.698242,-0.318359,0.227295
27,1007213031,9.480314,-0.656992,2.667477,2.211612,-4.753192,-1.044896,-0.696777,-0.317383,0.231689
28,1007229698,9.533195,-0.627612,2.610460,2.344862,-4.405872,-0.990994,-0.695312,-0.319336,0.227783
29,1007246365,9.554652,-0.633334,2.601414,2.526315,-4.679197,-1.190274,-0.699707,-0.317383,0.225830
30,1007263032,9.578390,-0.622245,2.610085,2.174410,-4.277795,-1.269609,-0.698730,-0.317383,0.227295
31,1007279699,9.545168,-0.624069,2.617195,1.921202,-3.907435,-1.179580,-0.692871,-0.316406,0.229248
32,1007296366,9.543447,-0.641965,2.636817,1.698743,-3.310813,-1.227566,-0.697266,-0.315918,0.230713
33,1007313033,9.493409,-0.641459,2.556445,2.206541,-4.387097,-1.653313,-0.696777,-0.318359,0.230713
34,1007329700,9.538169,-0.635636,2.577816,1.986848,-4.963396,-1.758837,-0.695801,-0.317383,0.234131
35,1007346367,9.547120,-0.645590,2.583416,1.826871,-4.559996,-1.608554,-0.693848,-0.316895,0.231201
36,1007363034,9.544631,-0.657577,2.565061,1.837167,-4.192774,-1.514812,-0.696777,-0.318848,0.235107
37,1007379701,9.551338,-0.644471,2.559566,1.823630,-3.896562,-1.336535,-0.693359,-0.316895,0.237061
38,1007396368,9.571693,-0.634384,2.554346,1.921458,-3.419142,-1.354335,-0.692383,-0.321777,0.235596
39,1007413035,9.562569,-0.643313,2.526563,2.019261,-3.150132,-1.273207,-0.697754,-0.318848,0.236084
40,1007429702,9.546893,-0.642522,2.551039,2.122864,-3.293729,-1.340530,-0.695801,-0.319336,0.237061
41,1007446369,9.527844,-0.639428,2.562597,1.970225,-3.256438,-1.250451,-0.697266,-0.320312,0.235596
42,1007463036,9.519135,-0.632427,2.518957,1.949325,-3.612466,-1.179580,-0.693848,-0.318848,0.238525
43,1007479703,9.545501,-0.650615,2.519134,1.825961,-3.634275,-1.101717,-0.695312,-0.318848,0.239990
44,1007496370,9.553736,-0.628510,2.505198,2.146837,-3.324375,-1.168733,-0.693848,-0.321289,0.238037
45,1007513037,9.536865,-0.638527,2.494794,2.645862,-3.314514,-1.119198,-0.698242,-0.321289,0.238037
46,1007529704,9.551162,-0.608073,2.488645,3.112347,-3.203547,-1.107545,-0.694336,-0.318848,0.241455
47,1007546371,9.527590,-0.601645,2.515646,3.021690,-3.214150,-1.076937,-0.693848,-0.319824,0.239990
