sep=,
DeviceTag:,upperarm
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-16_16:26:02_337 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,1006779689,9.520390,-0.383664,-2.724532,0.834980,0.573705,-0.398777,-0.794189,-0.178955,0.388672
2,1006796356,9.509107,-0.353129,-2.695147,0.832995,0.308729,-0.294085,-0.787354,-0.179932,0.387695
3,1006813023,9.549425,-0.357853,-2.678397,0.541382,0.286382,-0.135069,-0.792236,-0.179443,0.391113
4,1006829690,9.582784,-0.383602,-2.704203,0.485610,0.382442,0.136151,-0.791748,-0.180908,0.387695
5,1006846357,9.573789,-0.392463,-2.669567,0.437151,0.577586,0.289302,-0.789795,-0.180420,0.390137
6,1006863024,9.553184,-0.399262,-2.700994,0.374938,0.727561,0.273524,-0.789307,-0.178955,0.389160
7,1006879691,9.532155,-0.396834,-2.716659,0.396305,0.628830,0.319531,-0.791260,-0.180908,0.389648
8,1006896358,9.557532,-0.403875,-2.694854,0.300712,0.538603,0.259770,-0.791260,-0.178467,0.390625
9,1006913025,9.608326,-0.418735,-2.665330,0.210965,0.610472,0.188490,-0.788818,-0.176025,0.388672
10,1006929692,9.608484,-0.426997,-2.679497,0.412729,0.984559,0.096438,-0.791748,-0.181396,0.389648
11,1006946359,9.525789,-0.404140,-2.647361,0.346879,1.244912,0.277879,-0.789307,-0.177979,0.389648
12,1006963026,9.490968,-0.438762,-2.631125,0.375476,0.883171,0.485162,-0.791260,-0.177979,0.389160
13,1006979693,9.472540,-0.437699,-2.619579,0.461022,0.359775,0.470512,-0.792236,-0.180908,0.384766
14,1006996360,9.531930,-0.446947,-2.661038,0.521353,-0.223829,0.598319,-0.791748,-0.179443,0.389160
15,1007013027,9.570907,-0.443965,-2.674012,0.591250,-0.273262,0.444771,-0.794678,-0.175537,0.388184
16,1007029694,9.545448,-0.415391,-2.651535,0.608515,0.040088,0.247397,-0.792725,-0.178955,0.385742
17,1007046361,9.539454,-0.367205,-2.677253,0.187927,0.142836,-0.166867,-0.794189,-0.180420,0.388184
18,1007063028,9.531143,-0.386763,-2.662071,-0.191621,0.154899,-0.252183,-0.791260,-0.179443,0.388672
19,1007079695,9.563672,-0.410488,-2.661034,-0.349114,-0.015573,-0.294316,-0.793213,-0.177979,0.385254
