sep=,
DeviceTag:,Femur
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-09_17:31:07_886 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,1020235923,0.642831,0.249669,9.823106,2.072689,-1.641915,-0.745944,0.661621,0.123779,-1.043945
2,1020252590,0.639424,0.271287,9.834217,1.900277,-1.784501,-0.728630,0.662598,0.123291,-1.044922
3,1020269257,0.651976,0.274608,9.819379,1.940040,-1.693089,-0.670950,0.663574,0.124268,-1.041992
4,1020285924,0.656657,0.287822,9.788030,2.056463,-1.739038,-0.606931,0.660645,0.123779,-1.043457
5,1020302591,0.656625,0.278002,9.804434,2.131585,-1.577179,-0.651613,0.660645,0.123779,-1.043945
6,1020319258,0.670891,0.275070,9.781278,2.061496,-1.581226,-0.783774,0.664062,0.121826,-1.041504
7,1020335925,0.679797,0.261083,9.800510,2.016686,-1.498164,-0.838777,0.661133,0.123779,-1.043457
8,1020352592,0.666519,0.281815,9.828568,1.754656,-1.477738,-0.796209,0.666992,0.122803,-1.042480
9,1020369259,0.695797,0.285120,9.843941,1.656047,-1.632054,-0.711982,0.661621,0.125732,-1.044434
10,1020385926,0.674049,0.265287,9.809064,1.573676,-1.645667,-0.614487,0.663086,0.124756,-1.041016
11,1020402593,0.686432,0.253365,9.821213,1.611007,-1.689491,-0.618047,0.664551,0.123779,-1.044434
12,1020419260,0.673144,0.260675,9.831952,1.639104,-1.717536,-0.690032,0.661621,0.126221,-1.044434
13,1020435927,0.659033,0.260343,9.815915,1.433332,-1.764830,-0.664778,0.664062,0.124268,-1.042480
14,1020452594,0.651300,0.257713,9.803692,1.360233,-1.673111,-0.545883,0.661621,0.124756,-1.045410
15,1020469261,0.652770,0.260689,9.800151,1.465399,-1.572044,-0.604306,0.660156,0.127197,-1.043945
16,1020485928,0.639528,0.241922,9.840001,1.776465,-1.373481,-0.655429,0.663086,0.124268,-1.043457
17,1020502595,0.624960,0.228938,9.835049,1.794522,-1.384776,-0.665213,0.662598,0.123779,-1.042480
18,1020519262,0.615615,0.227795,9.832753,1.401098,-1.693601,-0.487000,0.661133,0.125732,-1.042480
19,1020535929,0.635798,0.229406,9.800587,1.406848,-1.669666,-0.484912,0.661133,0.124756,-1.042480
20,1020552596,0.638609,0.231979,9.797213,1.745256,-1.391487,-0.521359,0.664551,0.126709,-1.045410
21,1020569263,0.639791,0.244587,9.822534,2.208269,-1.266676,-0.535113,0.666504,0.122803,-1.042480
22,1020585930,0.634974,0.260335,9.836419,2.190904,-1.449679,-0.632134,0.663086,0.129639,-1.042480
23,1020602597,0.636818,0.262393,9.839439,1.821953,-1.605327,-0.634836,0.665039,0.126221,-1.041992
24,1020619264,0.644061,0.264592,9.824489,1.912596,-1.667771,-0.705169,0.663574,0.126709,-1.042969
25,1020635931,0.631709,0.244173,9.807892,2.212086,-1.517156,-0.862623,0.664062,0.123291,-1.042480
26,1020652598,0.652380,0.250592,9.811986,2.217541,-1.627316,-0.808375,0.663574,0.124756,-1.041992
27,1020669265,0.643514,0.258361,9.835931,2.105966,-1.691757,-0.861048,0.661133,0.125244,-1.041504
28,1020685932,0.658966,0.253342,9.853808,1.917822,-1.831808,-0.769393,0.663086,0.124756,-1.042969
29,1020702599,0.684385,0.224457,9.804444,1.609137,-2.014477,-0.673320,0.664062,0.123291,-1.041016
30,1020719266,0.695680,0.213968,9.808838,1.698372,-1.920747,-0.512177,0.662109,0.124268,-1.046387
31,1020735933,0.689149,0.236500,9.824165,1.632803,-1.866320,-0.384792,0.665527,0.127197,-1.040527
32,1020752600,0.700428,0.245922,9.806281,1.360643,-1.679527,-0.184232,0.662109,0.126709,-1.042480
33,1020769267,0.688288,0.264054,9.810678,1.167113,-1.620336,-0.107010,0.663086,0.129150,-1.043457
34,1020785934,0.672266,0.262654,9.820020,1.181930,-1.516835,-0.062994,0.662109,0.127686,-1.044434
35,1020802601,0.664948,0.274317,9.831432,0.825260,-1.630914,0.124497,0.662109,0.126709,-1.044922
36,1020819268,0.606985,0.300076,9.831742,0.648968,-1.809281,0.027002,0.662354,0.125244,-1.047852
37,1020835935,0.637048,0.307228,9.922178,-0.377429,-2.011724,0.108553,0.659668,0.129150,-1.040527
38,1020852602,0.636152,0.248266,9.890142,-2.038105,-2.140492,0.406185,0.663086,0.125732,-1.046387
39,1020869269,0.657870,0.148698,9.781143,-2.148790,-2.442683,0.549220,0.662109,0.129639,-1.044922
40,1020885936,0.623909,0.122884,9.746569,-1.417240,-2.382801,0.623509,0.661377,0.129639,-1.045410
41,1020902603,0.663226,0.142687,9.752844,0.194855,-2.019279,0.470332,0.659180,0.132080,-1.043457
42,1020919270,0.709842,0.188673,9.760962,0.900895,-1.767622,0.316682,0.659912,0.127686,-1.046387
43,1020935937,0.717245,0.224806,9.757905,0.745682,-1.455608,0.096246,0.660889,0.133545,-1.043457
44,1020952604,0.685511,0.253838,9.773998,0.812160,-1.141097,-0.355274,0.661133,0.128662,-1.042969
45,1020969271,0.679660,0.267268,9.792074,0.859364,-1.211557,-0.728451,0.663818,0.132080,-1.043945
46,1020985938,0.695760,0.305454,9.801320,0.052743,-1.241857,-0.875071,0.662598,0.133057,-1.041992
47,1021002605,0.633064,0.341335,9.882325,-1.384008,-1.391922,-0.839264,0.663818,0.132568,-1.043945
48,1021019272,0.602820,0.315248,9.917253,-2.739509,-1.209112,-0.566246,0.658447,0.135010,-1.043945
49,1021035939,0.581644,0.190221,9.874139,-3.151066,-1.473076,-0.248981,0.661865,0.136963,-1.043945
50,1021052606,0.621729,0.108783,9.899445,-3.109100,-2.201540,0.069148,0.662842,0.137451,-1.044434
