sep=,
DeviceTag:,Tibia
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-09_17:31:07_869 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,1020252590,9.590073,-2.106734,-1.102273,0.470102,-0.570203,-0.189188,-1.160400,0.782471,-0.439453
2,1020269257,9.596220,-2.099896,-1.093311,0.550846,-0.538571,-0.155828,-1.161865,0.783447,-0.440430
3,1020285924,9.582673,-2.092117,-1.107934,0.569018,-0.462886,-0.205785,-1.161377,0.781982,-0.439941
4,1020302591,9.612257,-2.098657,-1.096820,0.561526,-0.598876,-0.175703,-1.158447,0.786865,-0.438965
5,1020319258,9.599942,-2.094874,-1.114661,0.357547,-0.554182,-0.032643,-1.159912,0.784424,-0.439453
6,1020335925,9.598211,-2.100303,-1.121438,0.398092,-0.523882,-0.059012,-1.160889,0.786377,-0.439453
7,1020352592,9.592211,-2.109626,-1.133561,0.478951,-0.556935,-0.021592,-1.162354,0.782959,-0.439941
8,1020369259,9.586389,-2.095836,-1.135896,0.445283,-0.365544,-0.049048,-1.162354,0.783936,-0.437988
9,1020385926,9.592329,-2.096023,-1.148549,0.352360,-0.349140,-0.031709,-1.164307,0.783691,-0.437012
10,1020402593,9.588352,-2.084246,-1.140506,0.296794,-0.259008,-0.114655,-1.161865,0.782471,-0.440430
11,1020419260,9.587886,-2.099366,-1.128894,0.201309,-0.220807,-0.108188,-1.160889,0.781006,-0.440918
12,1020435927,9.587737,-2.122854,-1.145742,0.298446,-0.270278,-0.081717,-1.162842,0.782715,-0.440918
13,1020452594,9.588881,-2.107076,-1.122636,0.465812,-0.235867,-0.054747,-1.160889,0.782471,-0.441406
14,1020469261,9.592671,-2.109705,-1.104712,0.397323,-0.283481,-0.054030,-1.161865,0.783936,-0.437988
15,1020485928,9.599421,-2.108256,-1.081127,0.398117,-0.229669,-0.068424,-1.158936,0.782471,-0.437988
16,1020502595,9.594056,-2.144051,-1.101415,0.448446,-0.241297,-0.171823,-1.162354,0.784424,-0.440430
17,1020519262,9.603132,-2.115784,-1.093225,0.761946,-0.200125,-0.151538,-1.162842,0.782715,-0.439941
