sep=,
DeviceTag:,chest
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-09_17:42:07_993 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,1684680312,8.775049,-1.533121,-4.422374,2.794211,0.666129,-0.533167,-0.815918,0.299561,0.137207
2,1684696979,8.752295,-1.535421,-4.414807,3.130544,0.926828,-0.553567,-0.814453,0.299561,0.136719
3,1684713646,8.729864,-1.523251,-4.418629,3.104919,0.993472,-0.582023,-0.815430,0.301025,0.136719
4,1684730313,8.797848,-1.515796,-4.423259,2.977906,1.749328,-0.557256,-0.813965,0.298096,0.135254
5,1684746980,8.833755,-1.499620,-4.419089,2.683577,2.491841,-0.668248,-0.814941,0.301025,0.135742
6,1684763647,8.837002,-1.536474,-4.427675,2.292305,2.932878,-0.798041,-0.815918,0.298096,0.134766
7,1684780314,8.795346,-1.588272,-4.459827,2.198332,2.979571,-1.107340,-0.816895,0.296631,0.133789
8,1684796981,8.722885,-1.621055,-4.486199,1.628590,2.808580,-1.508793,-0.815430,0.296631,0.129395
9,1684813648,8.805655,-1.569461,-4.495256,0.780630,2.793686,-1.716217,-0.814209,0.298584,0.126953
10,1684830315,8.863729,-1.534990,-4.507252,0.093365,2.724032,-1.901845,-0.815918,0.299072,0.127441
11,1684846982,8.877666,-1.572054,-4.493154,0.370481,2.917971,-1.741459,-0.815186,0.295166,0.125488
12,1684863649,8.843431,-1.612962,-4.512437,1.179433,2.978212,-1.609207,-0.814697,0.296631,0.125977
13,1684880316,8.693704,-1.718192,-4.538614,0.045264,2.208359,-1.777675,-0.818359,0.295166,0.125488
14,1684896983,8.649378,-1.930749,-4.426696,-2.694853,0.852461,-1.547314,-0.818604,0.295166,0.122559
