sep=,
DeviceTag:,upperarm
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2024-12-09_17:42:07_985 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,1680494506,6.889455,6.883838,0.859335,-3.068722,2.706705,0.024633,-0.480713,-0.636963,-0.533203
2,1680511173,6.789585,6.876098,0.874589,-1.962061,3.177467,0.243045,-0.479736,-0.638428,-0.534180
3,1680527840,6.833348,6.936990,0.891250,-0.039905,2.884713,0.701884,-0.479736,-0.637939,-0.535645
4,1680544507,6.882030,7.019152,0.948164,1.063010,4.106606,1.399190,-0.481201,-0.637939,-0.536133
5,1680561174,7.062907,7.148131,1.015243,0.591621,8.042318,2.387123,-0.480713,-0.637451,-0.537109
6,1680577841,7.086841,7.434694,1.000551,-2.080355,14.787538,4.833345,-0.478271,-0.637451,-0.541016
7,1680594508,6.736185,7.343365,1.109078,-10.001505,18.283031,3.654188,-0.478271,-0.635986,-0.543457
8,1680611175,6.573915,7.130492,1.184237,-19.775854,17.778515,1.421118,-0.478271,-0.634521,-0.550293
9,1680627842,6.782088,7.028905,1.252212,-25.871408,15.692855,-1.406308,-0.477051,-0.633545,-0.560547
10,1680644509,7.218055,6.768924,1.431025,-27.287964,14.872581,-3.743027,-0.475098,-0.626221,-0.568848
11,1680661176,7.307920,6.589995,1.644075,-24.384081,16.843685,-4.320568,-0.469482,-0.620361,-0.580566
12,1680677843,6.909828,6.670598,1.626403,-20.475252,16.316538,-6.834074,-0.464111,-0.622803,-0.587158
13,1680694510,6.914928,6.980906,1.579059,-17.272125,14.200932,-9.821671,-0.461426,-0.617920,-0.591553
14,1680711177,6.989104,6.911628,1.515773,-17.572884,12.359632,-12.471131,-0.456543,-0.619141,-0.600342
15,1680727844,7.208690,6.793118,1.468086,-15.267925,10.304681,-13.471742,-0.446777,-0.618652,-0.604736
16,1680744511,7.477311,7.095161,1.556052,-15.017231,12.367572,-15.021879,-0.444824,-0.620605,-0.608643
17,1680761178,7.533705,7.129239,1.333996,-18.399389,9.374175,-16.764154,-0.435791,-0.618408,-0.610107
18,1680777845,7.551222,6.858380,1.090286,-20.342289,6.213891,-14.215220,-0.433350,-0.617432,-0.621582
19,1680794512,7.386180,6.794571,1.062413,-16.391827,2.724919,-10.432616,-0.431396,-0.615967,-0.625000
20,1680811179,7.143999,6.886868,1.191698,-10.364801,-0.691082,-10.169170,-0.425781,-0.617432,-0.629883
21,1680827846,7.024071,7.015976,1.217750,-8.479296,-3.627376,-12.005373,-0.424805,-0.614502,-0.632812
22,1680844513,6.911181,7.345567,1.194791,-9.403407,-5.130665,-15.740677,-0.421875,-0.614014,-0.630859
23,1680861180,7.067053,7.553372,1.154971,-11.875637,-6.168385,-20.864052,-0.419434,-0.615479,-0.633301
24,1680877847,7.258167,7.524263,1.053784,-16.013203,-7.715032,-24.296209,-0.411133,-0.615723,-0.635742
25,1680894514,7.304973,7.382677,1.058346,-16.643068,-9.622689,-26.291485,-0.404297,-0.614258,-0.640137
26,1680911181,7.248451,7.330744,1.113765,-14.062847,-12.527372,-27.277924,-0.397461,-0.619385,-0.639648
27,1680927848,7.081736,7.368927,1.158463,-10.147090,-15.835182,-29.278730,-0.396484,-0.619873,-0.640625
28,1680944515,6.991115,7.408121,1.025582,-10.586566,-21.475033,-31.278719,-0.388184,-0.621338,-0.640137
29,1680961182,6.916205,7.328382,0.898040,-12.308889,-25.942646,-32.060753,-0.385254,-0.624268,-0.637207
30,1680977849,6.819541,7.272793,0.797497,-11.574847,-29.923571,-32.418831,-0.380371,-0.627441,-0.637207
31,1680994516,6.736139,7.375863,0.836436,-10.599400,-32.753101,-32.252739,-0.378418,-0.630371,-0.633789
32,1681011183,6.561281,7.576476,0.992837,-11.480993,-36.211578,-32.553696,-0.374023,-0.631348,-0.633789
33,1681027850,6.547585,7.712301,1.127910,-16.348932,-37.595100,-34.747746,-0.369629,-0.630859,-0.634277
34,1681044517,6.497416,7.774083,1.238761,-23.296316,-38.974571,-37.430332,-0.364746,-0.634033,-0.633301
35,1681061184,6.334878,7.601505,1.164974,-28.585205,-40.404457,-40.340363,-0.365234,-0.633057,-0.633301
36,1681077851,6.243735,7.344832,1.136072,-30.956997,-41.749920,-41.848377,-0.358887,-0.637939,-0.637939
37,1681094518,6.187679,7.113141,1.190337,-28.697580,-42.404655,-41.954403,-0.355957,-0.632080,-0.638916
38,1681111185,5.960848,7.169045,1.261089,-23.331598,-43.384853,-41.229832,-0.348633,-0.635498,-0.641357
39,1681127852,5.725722,7.356938,1.360672,-20.504406,-43.437302,-40.654545,-0.340820,-0.638184,-0.641846
40,1681144519,5.584910,7.534260,1.457860,-20.829819,-43.451450,-40.580639,-0.339844,-0.636719,-0.641357
41,1681161186,5.682265,7.564784,1.712772,-22.704754,-40.864220,-39.893471,-0.332520,-0.638184,-0.639404
42,1681177853,5.508859,7.839890,1.761430,-23.296242,-37.603039,-41.188698,-0.327148,-0.636963,-0.639893
43,1681194520,5.524246,8.004697,1.724682,-30.053003,-35.405533,-42.559116,-0.321045,-0.635986,-0.645264
44,1681211187,5.527350,7.885569,1.814296,-36.285519,-32.821835,-42.087578,-0.317139,-0.635986,-0.649658
45,1681227854,5.364588,8.038996,1.838461,-36.129749,-31.085922,-43.792545,-0.310791,-0.638184,-0.655029
46,1681244521,5.234079,8.113684,1.856008,-38.524620,-27.522600,-44.507965,-0.301758,-0.631836,-0.660645
47,1681261188,5.179937,7.962433,1.990690,-37.362965,-26.122686,-43.042774,-0.297852,-0.630371,-0.666016
48,1681277855,5.191349,7.733893,2.003009,-31.712910,-24.561464,-40.659412,-0.288818,-0.631592,-0.677246
49,1681294522,4.952891,7.690966,2.047104,-23.851736,-21.517515,-37.471352,-0.279541,-0.628662,-0.678711
50,1681311189,4.744503,7.715457,2.097140,-15.377645,-18.902744,-35.550404,-0.273193,-0.631836,-0.679688
51,1681327856,4.547492,7.835342,2.234495,-8.404199,-16.836199,-34.267681,-0.268311,-0.630371,-0.679688
52,1681344523,4.389603,8.077106,2.467025,-0.659927,-16.330460,-34.140266,-0.261475,-0.634277,-0.676758
53,1681361190,4.130685,8.378032,2.573224,-0.239121,-13.955790,-35.687351,-0.253174,-0.634033,-0.676270
54,1681377857,3.913638,8.542088,2.569177,-7.682232,-14.552447,-39.534851,-0.246338,-0.636963,-0.679443
55,1681394524,3.891765,8.405252,2.403537,-19.684050,-15.098304,-40.058575,-0.237549,-0.639160,-0.676025
56,1681411191,3.914384,8.057072,2.206871,-26.486227,-16.222982,-36.312607,-0.230713,-0.637695,-0.685791
57,1681427858,3.962468,7.864419,2.181727,-23.743343,-16.617012,-31.435488,-0.222412,-0.635498,-0.686279
58,1681444525,3.904861,7.801997,2.299883,-18.860653,-16.979734,-26.417854,-0.219238,-0.635010,-0.696045
59,1681461192,3.839656,7.681610,2.370557,-14.045037,-17.493952,-21.089640,-0.215332,-0.632568,-0.695068
60,1681477859,3.912199,7.729495,2.392640,-8.420396,-15.679292,-15.083937,-0.213867,-0.630615,-0.695068
61,1681494526,3.778244,7.939102,2.475662,-1.937590,-12.081394,-9.348541,-0.211914,-0.630615,-0.692627
62,1681511193,3.599447,8.221793,2.659957,1.525012,-7.124993,-6.381303,-0.213867,-0.632080,-0.692627
63,1681527860,3.544196,8.752336,2.955223,-0.468610,-1.424937,-6.818781,-0.208496,-0.636475,-0.694580
64,1681544527,3.602003,9.064146,3.175227,-9.289744,3.868577,-9.570794,-0.209473,-0.632568,-0.693115
65,1681561194,3.589852,8.791200,3.256347,-20.744553,10.001032,-11.133507,-0.200195,-0.632812,-0.700439
66,1681577861,3.670480,8.352125,3.270039,-26.959724,16.832226,-10.229701,-0.198486,-0.626953,-0.705566
67,1681594528,3.756772,8.213060,3.296968,-26.543402,24.508045,-8.694196,-0.192627,-0.622070,-0.714844
68,1681611195,3.943922,8.501459,3.395029,-24.257145,33.380234,-8.095598,-0.184082,-0.619873,-0.723145
69,1681627862,3.883514,8.790751,3.790873,-17.866774,42.277481,-6.941453,-0.175781,-0.614014,-0.733887
70,1681644529,3.624303,8.990285,4.129164,-9.906227,50.518353,-5.036926,-0.161377,-0.613770,-0.735352
71,1681661196,3.176307,9.209799,3.940724,-12.727505,54.776981,-6.789440,-0.152588,-0.611816,-0.742920
72,1681677863,2.950183,9.518329,3.925216,-26.797075,58.767509,-10.700673,-0.140381,-0.606689,-0.749756
73,1681694530,3.043352,9.248518,4.001044,-41.023918,61.306107,-12.727791,-0.122559,-0.600098,-0.758057
74,1681711197,3.310642,8.659290,4.025033,-46.508984,65.414841,-13.203232,-0.111572,-0.593018,-0.773438
75,1681727864,3.293622,8.105110,4.038916,-41.335621,71.168205,-14.739281,-0.092773,-0.583984,-0.786133
76,1681744531,3.263346,8.151895,4.217063,-34.986687,78.624954,-14.615307,-0.072998,-0.578857,-0.800049
77,1681761198,3.120722,8.486983,4.411373,-26.683271,87.061943,-11.955571,-0.052979,-0.573730,-0.804443
78,1681777865,2.932315,8.716594,4.682301,-19.574806,90.818336,-12.850624,-0.033203,-0.570068,-0.809814
79,1681794532,2.837258,8.496473,4.542061,-17.266733,93.216690,-15.083066,-0.009766,-0.563721,-0.813965
80,1681811199,2.775650,8.529287,4.754281,-11.191980,94.884857,-16.060616,0.010010,-0.558105,-0.816406
81,1681827866,2.514220,8.439165,4.814590,-6.160399,97.375748,-15.757809,0.035400,-0.558105,-0.819824
82,1681844533,1.770290,8.680205,4.468388,-9.685506,97.018852,-15.332081,0.059326,-0.553955,-0.820557
83,1681861200,1.363500,9.000409,4.408462,-20.866877,94.776634,-16.448919,0.079590,-0.551025,-0.822510
84,1681877867,1.190070,8.598899,4.124975,-29.083891,91.387276,-17.713751,0.104492,-0.544434,-0.825439
85,1681894534,1.096324,8.122955,4.086816,-30.197100,90.799911,-17.802216,0.125000,-0.538086,-0.827637
86,1681911201,0.691775,8.087322,4.075259,-30.202215,89.526970,-16.594633,0.152100,-0.529541,-0.828613
87,1681927868,0.546319,8.150567,4.146999,-37.934555,81.194496,-10.556244,0.171875,-0.521240,-0.836914
88,1681944535,0.299014,8.271971,3.780367,-44.043427,71.791824,-10.746759,0.186523,-0.512695,-0.842041
89,1681961202,0.145079,8.452775,3.844898,-51.594543,60.474625,-11.762722,0.203857,-0.502686,-0.846924
90,1681977869,-0.219633,7.450339,3.523325,-56.034412,47.852795,-12.726406,0.216309,-0.486328,-0.856201
91,1681994536,-0.423533,7.047080,3.552286,-47.973911,31.792912,-12.096718,0.227539,-0.476562,-0.864258
92,1682011203,-0.449547,6.439920,3.432422,-31.031469,16.578110,-9.604755,0.234619,-0.464600,-0.870605
93,1682027870,-0.179557,6.280424,3.382258,-6.843741,2.131163,-7.440864,0.239502,-0.462646,-0.873535
94,1682044537,0.236176,7.016711,3.938954,23.141788,-14.865757,-8.914014,0.237549,-0.462646,-0.867676
95,1682061204,0.370531,7.390387,3.940732,26.711760,-31.666229,-9.776007,0.235840,-0.469971,-0.865234
96,1682077871,0.806015,7.621017,4.278417,25.004791,-41.008976,-8.794975,0.229980,-0.476562,-0.861816
97,1682094538,0.870432,7.343865,4.177977,20.860521,-49.618797,-6.019404,0.216309,-0.481934,-0.861572
98,1682111205,0.888266,7.181218,4.143668,13.906664,-51.916805,0.051591,0.208496,-0.485107,-0.860596
99,1682127872,0.843969,7.494263,4.187843,13.418703,-54.830845,4.191252,0.189941,-0.485840,-0.864502
100,1682144539,1.053852,7.964347,4.275368,22.769936,-63.733772,3.078421,0.180908,-0.490967,-0.861084
101,1682161206,1.200034,8.225570,4.102569,22.701559,-71.944283,0.091138,0.163818,-0.496094,-0.861084
102,1682177873,1.100459,8.122652,3.883454,27.755352,-82.559242,-4.637906,0.150146,-0.503662,-0.858643
103,1682194540,1.429675,8.110444,3.393515,39.368645,-89.414841,-7.186577,0.131348,-0.510254,-0.854980
104,1682211207,1.608042,8.464475,3.233953,51.440403,-95.120872,-9.401902,0.113281,-0.522217,-0.847168
105,1682227874,1.883827,9.032106,3.312393,58.332603,-100.325378,-10.296759,0.095947,-0.533203,-0.834717
106,1682244541,2.211841,9.718168,3.455346,55.014675,-98.905975,-10.540209,0.080566,-0.541748,-0.828369
107,1682261208,2.405390,9.893154,3.910061,50.052830,-100.510429,-16.005972,0.059814,-0.554932,-0.815186
108,1682277875,2.599551,9.772944,4.067797,45.640862,-97.740242,-21.181747,0.043945,-0.565918,-0.807129
109,1682294542,2.599051,9.473884,3.948710,44.910820,-94.642113,-24.642101,0.034180,-0.574219,-0.796875
